LastName FirstName Gender FavoriteColor DateOfBirth
Areeenie Natey F Green 08-28-1922
Grenie Na M Green 08-21-1924
Greeenie Nat F Green 08-22-1999
Creeenie Natie M Green 08-14-1923
Greeeeenie Nate F Green 08-22-1800
Zree N M Green 08-07-2001
Greenyy Natey M Green 08-28-1971
Greeeeenie Nat F Green 08-21-1972
Grees N F Green 08-22-1973
Greny Nanay F Green 08-14-1977
Gree Nana M Green 08-22-1980
Greeny Natie M Green 08-07-1990
Greenie Natey M Green 08-28-1985
Greie Natey F Green 08-21-1984
Greffenie Natey M Green 08-22-1973
Greendddie Naitey F Green 08-14-1945
Greenieee Naaatey M Green 08-22-1903
Gree Netey M Green 08-07-1999
